attack_relative_s,timestamp,dpid,port,rx_mbps,hits,blocked,action
146.9145655632019,1788102936.042224,1,1,0.0,0,0,
148.91701865196228,1788102938.044677,1,1,0.0,0,0,
150.91760873794556,1788102940.045267,1,1,0.0,0,0,
152.9187605381012,1788102942.046419,1,1,0.0,0,0,
154.92096972465515,1788102944.048628,1,1,0.0,0,0,
158.81710767745972,1788102947.944766,1,1,0.0,0,0,
160.81826758384705,1788102949.945926,1,1,0.0,0,0,
162.81924772262573,1788102951.946906,1,1,0.0,0,0,
164.82075762748718,1788102953.948416,1,1,0.0,0,0,
166.8213016986847,1788102955.94896,1,1,0.0,0,0,
168.82250666618347,1788102957.950165,1,1,0.0,0,0,
170.8246467113495,1788102959.952305,1,1,0.0,0,0,
172.8263397216797,1788102961.953998,1,1,0.0,0,0,
174.82735466957092,1788102963.955013,1,1,0.0,0,0,
176.82875061035156,1788102965.956409,1,1,0.0,0,0,
178.8302767276764,1788102967.957935,1,1,0.0,0,0,
180.83113956451416,1788102969.958798,1,1,0.0,0,0,
182.83176064491272,1788102971.959419,1,1,0.0,0,0,
184.83512353897095,1788102973.962782,1,1,0.0,0,0,
186.8364715576172,1788102975.96413,1,1,0.0,0,0,
188.83846163749695,1788102977.96612,1,1,0.0,0,0,
192.67536759376526,1788102981.803026,1,1,0.0,0,0,
194.6775255203247,1788102983.805184,1,1,0.0,0,0,
196.6789586544037,1788102985.806617,1,1,0.0,0,0,
198.68000960350037,1788102987.807668,1,1,0.0,0,0,
200.6820456981659,1788102989.809704,1,1,0.0,0,0,
202.68402862548828,1788102991.811687,1,1,0.0,0,0,
204.6861765384674,1788102993.813835,1,1,0.0,0,0,
206.6875286102295,1788102995.815187,1,1,0.0,0,0,
208.68898153305054,1788102997.81664,1,1,0.0,0,0,
210.6902506351471,1788102999.817909,1,1,0.0,0,0,
212.69103574752808,1788103001.818694,1,1,0.0,0,0,
214.69224071502686,1788103003.819899,1,1,0.0,0,0,
216.69289469718933,1788103005.820553,1,1,0.0,0,0,
218.6941635608673,1788103007.821822,1,1,0.0,0,0,
220.6975495815277,1788103009.825208,1,1,0.0,0,0,
222.69804167747498,1788103011.8257,1,1,0.0,0,0,
226.61343264579773,1788103015.741091,1,1,0.0,0,0,
228.61530256271362,1788103017.742961,1,1,0.0,0,0,
230.61815667152405,1788103019.745815,1,1,0.0,0,0,
232.61868166923523,1788103021.74634,1,1,0.0,0,0,
234.62148571014404,1788103023.749144,1,1,0.0,0,0,
236.6220726966858,1788103025.749731,1,1,0.0,0,0,
238.623530626297,1788103027.751189,1,1,0.0,0,0,
240.62432074546814,1788103029.751979,1,1,0.0,0,0,
242.62493062019348,1788103031.752589,1,1,0.0,0,0,
244.6260576248169,1788103033.753716,1,1,0.0,0,0,
246.62739062309265,1788103035.755049,1,1,0.0,0,0,
248.62902975082397,1788103037.756688,1,1,0.0,0,0,
250.6307396888733,1788103039.758398,1,1,0.0,0,0,
252.63092756271362,1788103041.758586,1,1,0.0,0,0,
254.6331205368042,1788103043.760779,1,1,0.0,0,0,
256.63359475135803,1788103045.761253,1,1,0.0,0,0,
258.6347396373749,1788103047.762398,1,1,0.0,0,0,
262.7303056716919,1788103051.857964,1,1,0.0,0,0,
264.7532217502594,1788103053.88088,1,1,0.0,0,0,
266.7541036605835,1788103055.881762,1,1,0.0,0,0,
268.755375623703,1788103057.883034,1,1,0.0,0,0,
270.7567195892334,1788103059.884378,1,1,0.0,0,0,
272.7577295303345,1788103061.885388,1,1,0.0,0,0,
274.759450674057,1788103063.887109,1,1,0.0,0,0,
276.76035261154175,1788103065.888011,1,1,0.0,0,0,
278.7617766857147,1788103067.889435,1,1,0.0,0,0,
280.7630846500397,1788103069.890743,1,1,0.0,0,0,
282.76436471939087,1788103071.892023,1,1,0.0,0,0,
284.7651286125183,1788103073.892787,1,1,0.0,0,0,
286.76707553863525,1788103075.894734,1,1,0.0,0,0,
288.7687876224518,1788103077.896446,1,1,0.0,0,0,
290.77184653282166,1788103079.899505,1,1,0.0,0,0,
292.7736165523529,1788103081.901275,1,1,0.0,0,0,
296.78647661209106,1788103085.914135,1,1,0.0,0,0,
298.7882356643677,1788103087.915894,1,1,0.0,0,0,
300.78974652290344,1788103089.917405,1,1,0.0,0,0,
302.7906527519226,1788103091.918311,1,1,0.0,0,0,
304.79164958000183,1788103093.919308,1,1,0.0,0,0,
306.7933306694031,1788103095.920989,1,1,0.0,0,0,
308.7956557273865,1788103097.923314,1,1,0.0,0,0,
310.79618859291077,1788103099.923847,1,1,0.0,0,0,
