scenario,timestamp,sample_time_s,attack_relative_s,rtt_ms
E3,1788102785.863934,16.61456298828125,-3.2637243270874023,0.031
E3,1788102786.375968,17.126596927642822,-2.75169038772583,0.049
E3,1788102786.887944,17.638572931289673,-2.2397143840789795,0.03
E3,1788102787.399917,18.150545835494995,-1.7277414798736572,0.024
E3,1788102787.911988,18.662616968154907,-1.2156703472137451,0.056
E3,1788102788.423918,19.17454695701599,-0.7037403583526611,0.023
E3,1788102788.935948,19.68657684326172,-0.1917104721069336,0.034
E3,1788102789.689651,20.440279960632324,0.5619926452636719,242.0
E3,1788102790.271492,21.0221209526062,1.1438336372375488,337.0
E3,1788102790.753241,21.503870010375977,1.6255826950073242,338.0
E3,1788102791.234997,21.985625982284546,2.1073386669158936,338.0
E3,1788102791.714305,22.4649338722229,2.586646556854248,336.0
E3,1788102792.198383,22.94901204109192,3.0707247257232666,338.0
E3,1788102792.677775,23.428403854370117,3.550116539001465,336.0
E3,1788102793.161841,23.9124698638916,4.034182548522949,338.0
E3,1788102793.641168,24.391797065734863,4.513509750366211,336.0
E3,1788102794.12533,24.875958919525146,4.997671604156494,338.0
E3,1788102794.607076,25.357704877853394,5.479417562484741,339.0
E3,1788102795.064947,25.81557583808899,5.937288522720337,315.0
E3,1788102795.458468,26.209096908569336,6.330809593200684,226.0
E3,1788102795.944979,26.695607900619507,6.8173205852508545,224.0
E3,1788102796.433982,27.184610843658447,7.306323528289795,226.0
E3,1788102796.922825,27.67345404624939,7.795166730880737,227.0
E3,1788102797.409243,28.15987205505371,8.281584739685059,226.0
E3,1788102797.895725,28.64635396003723,8.768066644668579,224.0
E3,1788102798.384609,29.1352379322052,9.256950616836548,226.0
E3,1788102798.871109,29.621737957000732,9.74345064163208,224.0
E3,1788102799.360046,30.11067485809326,10.23238754272461,225.0
E3,1788102799.848837,30.59946584701538,10.721178531646729,226.0
E3,1788102800.256769,31.007397890090942,11.12911057472229,146.0
E3,1788102800.662125,31.41275405883789,11.534466743469238,57.9
E3,1788102801.101711,31.85233998298645,11.974052667617798,0.05
E3,1788102801.608004,32.358633041381836,12.480345726013184,0.069
E3,1788102802.120029,32.8706579208374,12.99237060546875,0.049
E3,1788102802.631956,33.38258504867554,13.504297733306885,0.042
E3,1788102803.14397,33.894598960876465,14.016311645507812,0.045
E3,1788102803.655961,34.4065899848938,14.528302669525146,0.05
E3,1788102804.16797,34.918598890304565,15.040311574935913,0.05
E3,1788102804.679936,35.430564880371094,15.552277565002441,0.032
E3,1788102805.191916,35.94254493713379,16.064257621765137,0.026
E3,1788102805.703945,36.4545738697052,16.576286554336548,0.036
